VK_FORMAT_UNDEFINED  : 0 : The format is not specified. 
VK_FORMAT_R16G16B16A16_SSCALED  : 94 : A four-component, 64-bit signed scaled integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R16G16B16A16_UINT  : 95 : A four-component, 64-bit unsigned integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R16G16B16A16_SINT  : 96 : A four-component, 64-bit signed integer format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R16G16B16A16_SFLOAT  : 97 : A four-component, 64-bit signed floating-point format that has a 16-bit R component in bytes 0..1, a 16-bit G component in bytes 2..3, a 16-bit B component in bytes 4..5, and a 16-bit A component in bytes 6..7. 
VK_FORMAT_R32_UINT  : 98 : A one-component, 32-bit unsigned integer format that has a single 32-bit R component. 
VK_FORMAT_R32_SINT  : 99 : A one-component, 32-bit signed integer format that has a single 32-bit R component. 
VK_FORMAT_R32_SFLOAT  : 100 : A one-component, 32-bit signed floating-point format that has a single 32-bit R component. 
VK_FORMAT_R32G32_UINT  : 101 : A two-component, 64-bit unsigned integer format that has a 32-bit R component in bytes 0..3, and a 32-bit G component in bytes 4..7. 
VK_FORMAT_R32G32_SINT  : 102 : A two-component, 64-bit signed integer format that has a 32-bit R component in bytes 0..3, and a 32-bit G component in bytes 4..7. 
VK_FORMAT_R32G32_SFLOAT  : 103 : A two-component, 64-bit signed floating-point format that has a 32-bit R component in bytes 0..3, and a 32-bit G component in bytes 4..7. 
VK_FORMAT_R32G32B32_UINT  : 104 : A three-component, 96-bit unsigned integer format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, and a 32-bit B component in bytes 8..11. 
VK_FORMAT_R32G32B32_SINT  : 105 : A three-component, 96-bit signed integer format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, and a 32-bit B component in bytes 8..11. 
VK_FORMAT_R32G32B32_SFLOAT  : 106 : A three-component, 96-bit signed floating-point format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, and a 32-bit B component in bytes 8..11. 
VK_FORMAT_R32G32B32A32_UINT  : 107 : A four-component, 128-bit unsigned integer format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, a 32-bit B component in bytes 8..11, and a 32-bit A component in bytes 12..15. 
VK_FORMAT_R32G32B32A32_SINT  : 108 : A four-component, 128-bit signed integer format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, a 32-bit B component in bytes 8..11, and a 32-bit A component in bytes 12..15. 
VK_FORMAT_R32G32B32A32_SFLOAT  : 109 : A four-component, 128-bit signed floating-point format that has a 32-bit R component in bytes 0..3, a 32-bit G component in bytes 4..7, a 32-bit B component in bytes 8..11, and a 32-bit A component in bytes 12..15. 
VK_FORMAT_R64_UINT  : 110 : A one-component, 64-bit unsigned integer format that has a single 64-bit R component. 
VK_FORMAT_R64_SINT  : 111 : A one-component, 64-bit signed integer format that has a single 64-bit R component. 
VK_FORMAT_R64_SFLOAT  : 112 : A one-component, 64-bit signed floating-point format that has a single 64-bit R component. 
VK_FORMAT_R64G64_UINT  : 113 : A two-component, 128-bit unsigned integer format that has a 64-bit R component in bytes 0..7, and a 64-bit G component in bytes 8..15. 
VK_FORMAT_R64G64_SINT  : 114 : A two-component, 128-bit signed integer format that has a 64-bit R component in bytes 0..7, and a 64-bit G component in bytes 8..15. 
VK_FORMAT_R64G64_SFLOAT  : 115 : A two-component, 128-bit signed floating-point format that has a 64-bit R component in bytes 0..7, and a 64-bit G component in bytes 8..15. 
VK_FORMAT_R64G64B64_UINT  : 116 : A three-component, 192-bit unsigned integer format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, and a 64-bit B component in bytes 16..23. 
VK_FORMAT_R64G64B64_SINT  : 117 : A three-component, 192-bit signed integer format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, and a 64-bit B component in bytes 16..23. 
VK_FORMAT_R64G64B64_SFLOAT  : 118 : A three-component, 192-bit signed floating-point format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, and a 64-bit B component in bytes 16..23. 
VK_FORMAT_R64G64B64A64_UINT  : 119 : A four-component, 256-bit unsigned integer format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, a 64-bit B component in bytes 16..23, and a 64-bit A component in bytes 24..31. 
VK_FORMAT_R64G64B64A64_SINT  : 120 : A four-component, 256-bit signed integer format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, a 64-bit B component in bytes 16..23, and a 64-bit A component in bytes 24..31. 
VK_FORMAT_R64G64B64A64_SFLOAT  : 121 : A four-component, 256-bit signed floating-point format that has a 64-bit R component in bytes 0..7, a 64-bit G component in bytes 8..15, a 64-bit B component in bytes 16..23, and a 64-bit A component in bytes 24..31. 
VK_FORMAT_B10G11R11_UFLOAT_PACK32  : 122 : A three-component, 32-bit packed unsigned floating-point format that has a 10-bit B component in bits 22..31, an 11-bit G component in bits 11..21, an 11-bit R component in bits 0..10. See Section 2.7.4, “Unsigned 10-Bit Floating-Point Numbers” and Section 2.7.3, “Unsigned 11-Bit Floating-Point Numbers”. 
VK_FORMAT_E5B9G9R9_UFLOAT_PACK32  : 123 : A three-component, 32-bit packed unsigned floating-point format that has a 5-bit shared exponent in bits 27..31, a 9-bit B component mantissa in bits 18..26, a 9-bit G component mantissa in bits 9..17, and a 9-bit R component mantissa in bits 0..8. 
VK_FORMAT_D16_UNORM  : 124 : A one-component, 16-bit unsigned normalized format that has a single 16-bit depth component. 
VK_FORMAT_X8_D24_UNORM_PACK32  : 125 : A two-component, 32-bit format that has 24 unsigned normalized bits in the depth component and, optionally, 8 bits that are unused. 
VK_FORMAT_D32_SFLOAT  : 126 : A one-component, 32-bit signed floating-point format that has 32-bits in the depth component. 
VK_FORMAT_S8_UINT  : 127 : A one-component, 8-bit unsigned integer format that has 8-bits in the stencil component. 
VK_FORMAT_D16_UNORM_S8_UINT  : 128 : A two-component, 24-bit format that has 16 unsigned normalized bits in the depth component and 8 unsigned integer bits in the stencil component. 
VK_FORMAT_D24_UNORM_S8_UINT  : 129 : A two-component, 32-bit packed format that has 8 unsigned integer bits in the stencil component, and 24 unsigned normalized bits in the depth component. 
VK_FORMAT_D32_SFLOAT_S8_UINT  : 130 : A two-component format that has 32 signed float bits in the depth component and 8 unsigned integer bits in the stencil component. There are optionally 24-bits that are unused. 
VK_FORMAT_BC1_RGB_UNORM_BLOCK  : 131 : A three-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGB texel data. This format has no alpha and is considered opaque. 
VK_FORMAT_BC1_RGB_SRGB_BLOCK  : 132 : A three-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGB texel data with sRGB nonlinear encoding. This format has no alpha and is considered opaque. 
VK_FORMAT_BC1_RGBA_UNORM_BLOCK  : 133 : A four-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGB texel data, and provides 1 bit of alpha. 
VK_FORMAT_BC1_RGBA_SRGB_BLOCK  : 134 : A four-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGB texel data with sRGB nonlinear encoding, and provides 1 bit of alpha. 
VK_FORMAT_BC2_UNORM_BLOCK  : 135 : A four-component, block-compressed format where each 128-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGBA texel data with the first 64 bits encoding alpha values followed by 64 bits encoding RGB values. 
VK_FORMAT_BC2_SRGB_BLOCK  : 136 : A four-component, block-compressed format where each 128-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGBA texel data with the first 64 bits encoding alpha values followed by 64 bits encoding RGB values with sRGB nonlinear encoding. 
VK_FORMAT_BC3_UNORM_BLOCK  : 137 : A four-component, block-compressed format where each 128-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGBA texel data with the first 64 bits encoding alpha values followed by 64 bits encoding RGB values. 
VK_FORMAT_BC3_SRGB_BLOCK  : 138 : A four-component, block-compressed format where each 128-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized RGBA texel data with the first 64 bits encoding alpha values followed by 64 bits encoding RGB values with sRGB nonlinear encoding. 
VK_FORMAT_BC4_UNORM_BLOCK  : 139 : A one-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of unsigned normalized red texel data. 
VK_FORMAT_BC4_SNORM_BLOCK  : 140 : A one-component, block-compressed format where each 64-bit compressed texel block encodes a 4x4 rectangle of signed normalized red texel data. 
